segundo,puerta,entran,salen,sin_direccion,personas,area_acumulada
7.0,0,0.0,0.93,0.0,0.93,46821
37.38,0,0.01,0.0,0.0,0.01,467
39.02,0,0.26,0.0,0.0,0.26,13174
42.48,0,0.46,0.16,0.0,0.62,30958
73.27,0,1.45,0.0,0.0,1.45,72812
73.57,0,0.0,0.0,0.01,0.01,283
80.46,0,1.08,0.0,0.0,1.08,54064
89.13,0,0.28,0.0,0.0,0.28,14189
100.69,0,0.0,1.56,0.0,1.56,78175
116.21,0,0.0,1.39,0.0,1.39,69880
124.34,0,0.0,0.16,0.0,0.16,8105
131.81,0,2.54,0.0,0.0,2.54,127779
139.14,0,0.99,0.0,0.0,0.99,49942
146.66,0,0.0,0.19,0.0,0.19,9374
155.49,0,0.0,0.98,0.0,0.98,49364
171.65,0,0.0,3.0,0.0,3.0,150544
171.99,0,0.0,0.0,0.0,0.0,124
179.52,0,0.0,0.0,0.01,0.01,299
192.11,0,0.0,1.71,0.0,1.71,86010
210.17,0,2.59,0.0,0.0,2.59,130017
225.36,0,0.0,8.4,0.0,8.4,421916
225.66,0,0.0,0.0,0.01,0.01,489
286.67,0,1.8,0.0,0.0,1.8,90486
306.42,0,0.0,6.32,0.0,6.32,317231
311.55,0,0.0,0.0,0.12,0.12,6205
315.95,0,1.28,0.0,0.0,1.28,64319
325.78,0,0.0,4.38,0.0,4.38,220112
360.5,0,0.01,0.0,0.0,0.01,259
366.4,0,1.36,0.0,0.0,1.36,68507
367.53,0,0.09,0.0,0.0,0.09,4279
367.73,0,0.01,0.0,0.0,0.01,260
368.03,0,0.01,0.0,0.0,0.01,601
380.02,0,0.0,4.62,0.0,4.62,231827
406.84,0,12.38,0.0,0.0,12.38,621857
427.23,0,0.28,1.05,0.0,1.33,66877
436.73,0,3.16,0.0,0.0,3.16,158818
457.82,0,4.33,0.16,0.0,4.49,225485
462.88,0,1.26,0.0,0.0,1.26,63284
475.78,0,1.72,0.0,0.0,1.72,86531
481.34,0,1.39,0.0,0.0,1.39,69569
481.78,0,0.0,0.0,0.01,0.01,736
484.27,0,0.17,0.01,0.0,0.18,9209
